creditcard,zipcode,age,gender,salary,rango_edad,clasificacion_salario
5557783527541459,55335,58,Male,8700,51-60,Alto
5418686973265201,55255,36,Female,9700,31-40,Alto
5527060358825468,55559,32,Female,6800,31-40,Medio
5312916958971375,55700,58,Male,4700,51-60,Bajo
5541858987662877,55925,52,Male,5700,51-60,Medio
5155271703366251,55338,38,Female,7100,31-40,Medio
5485337334153888,55840,38,Male,6000,31-40,Medio
5293804792403628,55772,32,Female,7000,31-40,Medio
5275938856549264,55641,19,Male,100,18-30,Bajo
5303041772852809,55861,82,Male,4000,60+,Bajo
5193369123683240,55153,64,Female,8300,60+,Alto
5203507204290025,55876,22,Male,7600,18-30,Medio
5262016395912213,55610,84,Male,6700,60+,Medio
5134202079934311,55736,77,Female,5400,60+,Medio
5445669794102040,55025,56,Male,5600,51-60,Medio
5296303354233579,55604,44,Female,4100,41-50,Bajo
5501878919420143,55964,57,Male,1500,51-60,Bajo
5217036561413487,55962,24,Female,200,18-30,Bajo
5501801437628823,55178,46,Female,4200,41-50,Bajo
5228511361304687,55897,80,Male,7300,60+,Medio
5376932971679633,55198,56,Female,1200,51-60,Bajo
5562888523772686,55694,94,Male,1800,60+,Bajo
5203626145214728,55449,87,Female,5900,60+,Medio
5298613442902912,55890,95,Male,4200,60+,Bajo
5579717768479361,55703,75,Female,7700,60+,Medio
5282506505249759,55416,58,Female,1100,51-60,Bajo
5197268547153770,55762,60,Female,8800,51-60,Alto
5431376005483617,55247,35,Female,8600,31-40,Alto
5459713613354508,55067,18,Male,2900,,Bajo
5244601459683496,55664,55,Female,9200,51-60,Alto
5370780363154178,55641,42,Female,9900,41-50,Alto
5528212893292626,55354,73,Female,2500,60+,Bajo
5388156638197021,55675,59,Male,4600,51-60,Bajo
5266470483776921,55267,89,Male,2500,60+,Bajo
5367214924602504,55083,48,Male,700,41-50,Bajo
5392042355228583,55209,44,Male,3800,41-50,Bajo
5343012307458935,55170,80,Male,9300,60+,Alto
5266726582990568,55886,53,Male,3500,51-60,Bajo
5163222677779102,55302,43,Male,8200,41-50,Alto
5300372206340415,55650,65,Male,8000,60+,Alto
5483609154156239,55202,98,Male,7600,60+,Medio
5547560199083983,55120,96,Female,9700,60+,Alto
5205591949261242,55830,18,Male,2000,,Bajo
5120470152187695,55900,94,Female,1900,60+,Bajo
5375566678830858,55284,77,Male,6300,60+,Medio
5305375828717048,55805,56,Male,7200,51-60,Medio
5390977137371445,55020,81,Female,4200,60+,Bajo
5529454535887814,55004,33,Female,6000,31-40,Medio
5391291226882828,55982,65,Female,9700,60+,Alto
5539559418764944,55088,55,Male,10000,51-60,Alto
5298074885335278,55944,49,Male,5300,41-50,Medio
5241345838614284,55882,50,Female,3900,41-50,Bajo
5224147000287613,55889,77,Female,6200,60+,Medio
5431264098786171,55786,23,Female,700,18-30,Bajo
5456422117438337,55361,86,Male,4200,60+,Bajo
5596281910032874,55502,29,Male,100,18-30,Bajo
5332736190597978,55397,55,Female,5100,51-60,Medio
5589378661799922,55718,41,Male,4800,41-50,Bajo
5434200106458517,55227,44,Male,5600,41-50,Medio
5549765675180348,55081,78,Male,2600,60+,Bajo
5519733284347464,55881,27,Male,100,18-30,Bajo
5282906853098347,55261,21,Male,9300,18-30,Alto
5282977778084530,55217,41,Male,4500,41-50,Bajo
5365958886397378,55117,19,Female,6000,18-30,Medio
5561783003246601,55951,51,Female,5400,51-60,Medio
5118248598638131,55509,85,Female,9600,60+,Alto
5306548700447962,55070,60,Female,7700,51-60,Medio
5525417677542178,55046,29,Male,8900,18-30,Alto
5549202935303726,55562,58,Female,6500,51-60,Medio
5181093955902494,55622,46,Female,9200,41-50,Alto
5312169427780551,55491,62,Male,7000,60+,Medio
5315431804020333,55048,77,Male,5200,60+,Medio
5192390204067468,55048,89,Female,700,60+,Bajo
5516155027468865,55781,29,Male,2000,18-30,Bajo
5575448352858059,55015,91,Female,800,60+,Bajo
5110695351142669,55605,88,Female,500,60+,Bajo
5401888231295157,55572,95,Male,3600,60+,Bajo
5364936170350924,55439,47,Female,2600,41-50,Bajo
5479333959163920,55704,58,Male,2300,51-60,Bajo
5325307303710590,55659,37,Female,7400,31-40,Medio
5517118127768153,55795,41,Male,6500,41-50,Medio
5172279327264371,55678,28,Male,2900,18-30,Bajo
5227048411037703,55173,83,Female,2100,60+,Bajo
5268020795009723,55522,86,Male,4800,60+,Bajo
5505913822967496,55038,87,Female,3800,60+,Bajo
5303786290488177,55834,56,Female,3100,51-60,Bajo
5282653785099932,55626,58,Male,5400,51-60,Medio
5347000034445859,55127,73,Female,300,60+,Bajo
5211997215600868,55903,21,Male,7700,18-30,Medio
5521594626475348,55159,75,Female,3400,60+,Bajo
5347202514006215,55208,47,Male,8300,41-50,Alto
5378803076722198,55012,90,Female,9900,60+,Alto
5330109204117807,55581,20,Female,6200,18-30,Medio
5125765964385238,55592,95,Male,5700,60+,Medio
5284663233412262,55337,59,Female,6800,51-60,Medio
5585190044226505,55871,34,Female,9800,31-40,Alto
5320920298707127,55638,33,Female,6900,31-40,Medio
5541485718923194,55272,34,Female,1600,31-40,Bajo
5463827687753819,55196,69,Male,8600,60+,Alto
5258512923111977,55390,36,Female,9800,31-40,Alto
5115297483341403,55937,73,Female,4500,60+,Bajo
5584476166630926,55195,38,Female,4200,31-40,Bajo
5504095814648838,55948,60,Male,8900,51-60,Alto
5392018679540028,55124,69,Female,2900,60+,Bajo
5222484016484880,55038,45,Female,6800,41-50,Medio
5301927807147177,55804,64,Male,100,60+,Bajo
5217944727812809,55622,64,Female,6900,60+,Medio
5128058083020325,55884,52,Female,400,51-60,Bajo
5548523998835184,55305,32,Male,6600,31-40,Medio
5486752292528153,55340,84,Male,2300,60+,Bajo
5118798824885351,55332,74,Female,2300,60+,Bajo
5106015172236127,55852,28,Female,6500,18-30,Medio
5482552773234923,55273,19,Male,7800,18-30,Medio
5453532388618103,55392,33,Male,10000,31-40,Alto
5150588254864391,55965,95,Male,3600,60+,Bajo
5208734537355292,55925,31,Female,8600,31-40,Alto
5263717718748486,55402,45,Male,1400,41-50,Bajo
5362344427214310,55803,81,Female,7100,60+,Medio
5495116118396584,55596,27,Male,1200,18-30,Bajo
